,home_team_name,away_team_name,home_team_xG,away_team_xG,date
316,Milan,Genoa,1.55,0.41,2022-04-15 14:00:00
317,Cagliari,Sassuolo,1.76,0.34,2022-04-16 05:30:00
318,Sampdoria,Salernitana,0.85,0.56,2022-04-16 07:30:00
319,Fiorentina,Venezia,3.5,0.13,2022-04-16 09:30:00
320,Udinese,Empoli,0.99,2.09,2022-04-16 07:30:00
321,Juventus,Bologna,2.47,0.83,2022-04-16 11:30:00
322,Napoli,Roma,1.19,1.24,2022-04-18 12:00:00
323,Lazio,Torino,0.78,1.08,2022-04-16 13:45:00
324,Atalanta,Hellas Verona,1.36,3.05,2022-04-18 14:00:00
325,Sassuolo,Juventus,1.85,0.77,2022-04-25 13:45:00
326,Udinese,Salernitana,0.51,0.98,2022-04-20 11:45:00
327,Venezia,Atalanta,0.92,3.98,2022-04-23 08:00:00
328,Inter,Roma,1.62,0.97,2022-04-23 11:00:00
329,Hellas Verona,Sampdoria,1.56,1.0,2022-04-23 13:45:00
330,Salernitana,Fiorentina,1.01,1.01,2022-04-24 05:30:00
331,Bologna,Udinese,1.4,1.84,2022-04-24 08:00:00
332,Lazio,Milan,0.5,2.62,2022-04-24 13:45:00
333,Empoli,Napoli,1.82,1.5,2022-04-24 08:00:00
334,Torino,Spezia,2.55,1.15,2022-04-23 08:00:00
335,Bologna,Inter,1.36,2.53,2022-04-27 13:15:00
336,Atalanta,Torino,2.89,2.35,2022-04-27 13:15:00
337,Genoa,Cagliari,0.97,1.1,2022-04-24 11:00:00
338,Fiorentina,Udinese,2.85,3.33,2022-04-27 11:00:00
339,Sampdoria,Genoa,1.12,1.61,2022-04-30 11:00:00
340,Napoli,Sassuolo,3.08,1.53,2022-04-30 08:00:00
341,Cagliari,Hellas Verona,1.11,1.4,2022-04-30 08:00:00
342,Juventus,Venezia,2.18,0.6,2022-05-01 05:30:00
343,Empoli,Torino,0.7,2.63,2022-05-01 08:00:00
344,Roma,Bologna,1.12,1.37,2022-05-01 13:45:00
345,Atalanta,Salernitana,2.09,1.12,2022-05-02 13:45:00
346,Spezia,Lazio,1.35,3.26,2022-04-30 13:45:00
347,Salernitana,Venezia,2.62,1.43,2022-05-05 11:00:00
348,Milan,Fiorentina,1.56,0.95,2022-05-01 08:00:00
349,Udinese,Inter,1.11,2.18,2022-05-01 11:00:00
